# Q^2 Ge DeltaGe  Gm DeltaGm
0.0152 (0.9511-0.9530) 0.0006 # Gm forced to (1,\ 1.05) \mu_pG_\mathrm{std.\ dip.}
0.0162 (0.9483-0.9503) 0.0004 # Gm forced to (1,\ 1.05) \mu_pG_\mathrm{std.\ dip.}
0.0172 (0.9440-0.9462) 0.0005 # Gm forced to (1,\ 1.05) \mu_pG_\mathrm{std.\ dip.}
0.0192 (0.9400-0.9427) 0.0005 # Gm forced to (1,\ 1.05) \mu_pG_\mathrm{std.\ dip.}

0.0152 0.9433 0.0071 3.2859 0.3955
0.0162 0.9430 0.0042 3.1148 0.2332
0.0172 0.9346 0.0045 3.2880 0.2134
0.0182 0.9434 0.0037 2.6790 0.2057
0.0192 0.9328 0.0053 3.1029 0.2263


0.0202 0.9354 0.0041 2.7368 0.1861
0.0213 0.9375 0.0046 2.4972 0.2096
0.0236 0.9349 0.0039 2.3928 0.1712
0.0255 0.9250 0.0029 2.4870 0.1138
0.0272 0.9170 0.0027 2.6058 0.0894
0.0304 0.9119 0.0030 2.4760 0.0973
0.0322 0.9053 0.0026 2.5483 0.0768
0.0340 0.9021 0.0017 2.4843 0.0480
0.0357 0.8921 0.0021 2.6470 0.0460
0.0376 0.8921 0.0024 2.5045 0.0477
0.0394 0.8888 0.0016 2.4698 0.0386
0.0413 0.8800 0.0014 2.5439 0.0259
0.0433 0.8767 0.0010 2.4878 0.0201
0.0473 0.8657 0.0010 2.4788 0.0164
0.0494 0.8622 0.0012 2.4500 0.0174
0.0515 0.8579 0.0013 2.4175 0.0135
0.0537 0.8534 0.0009 2.4014 0.0111
0.0557 0.8474 0.0013 2.3997 0.0123
0.0580 0.8419 0.0009 2.3938 0.0121
0.0602 0.8364 0.0012 2.3790 0.0088
0.0625 0.8326 0.0008 2.3574 0.0076
0.0648 0.8274 0.0007 2.3404 0.0051
0.0672 0.8213 0.0010 2.3275 0.0082
0.0695 0.8162 0.0008 2.3157 0.0077
0.0711 0.8115 0.0007 2.3072 0.0055
0.0742 0.8033 0.0007 2.3028 0.0058
0.0773 0.7968 0.0007 2.2861 0.0040
0.0805 0.7909 0.0005 2.2611 0.0031
0.0837 0.7858 0.0005 2.2327 0.0039
0.0867 0.7794 0.0038 2.2087 0.0416
0.0908 0.7707 0.0024 2.1924 0.0257
0.0949 0.7625 0.0031 2.1873 0.0319
0.1033 0.7427 0.0029 2.1669 0.0260
0.1076 0.7379 0.0026 2.1125 0.0213
0.1120 0.7272 0.0011 2.1069 0.0087
0.1163 0.7212 0.0017 2.0652 0.0100
0.1255 0.7055 0.0016 2.0243 0.0110
0.1300 0.6990 0.0013 1.9862 0.0071
0.1348 0.6923 0.0012 1.9522 0.0062
0.1395 0.6857 0.0015 1.9296 0.0065
0.1441 0.6779 0.0012 1.9096 0.0059
0.1490 0.6676 0.0009 1.8941 0.0034
0.1538 0.6642 0.0016 1.8522 0.0081
0.1588 0.6551 0.0012 1.8419 0.0070
0.1637 0.6483 0.0013 1.8164 0.0053
0.1687 0.6362 0.0013 1.8162 0.0064
0.1739 0.6305 0.0009 1.7866 0.0028
0.1789 0.6247 0.0011 1.7642 0.0043
0.1840 0.6154 0.0010 1.7447 0.0036
0.1893 0.6111 0.0018 1.7222 0.0031
0.1943 0.6029 0.0014 1.7027 0.0035
0.1997 0.5931 0.0008 1.6891 0.0023
0.2051 0.5831 0.0009 1.6746 0.0030
0.2103 0.5785 0.0010 1.6523 0.0028
0.2156 0.5730 0.0008 1.6293 0.0026
0.2210 0.5687 0.0021 1.6015 0.0068
0.2318 0.5575 0.0021 1.5609 0.0067
0.2427 0.5370 0.0019 1.5429 0.0056
0.2481 0.5355 0.0022 1.5166 0.0059
0.2592 0.5257 0.0023 1.4813 0.0054
0.2758 0.5067 0.0022 1.4351 0.0040
0.2814 0.4998 0.0026 1.4222 0.0063
0.3069 0.4723 0.0012 1.3619 0.0024
0.3354 0.4447 0.0012 1.2929 0.0020
0.3638 0.4192 0.0010 1.2310 0.0015
0.3916 0.4031 0.0019 1.1633 0.0029
0.4201 0.3824 0.0020 1.1105 0.0027
0.4471 0.3609 0.0027 1.0697 0.0034
0.4748 0.3448 0.0026 1.0214 0.0029
0.5011 0.3301 0.0018 0.9789 0.0017
0.5274 0.3105 0.0021 0.9428 0.0018
0.5524 0.2972 0.0021 0.9108 0.0016
